T,Evap,P,FYM,AGB,SoilCover,Crop,Scenario
7.7403545,16.508005202018374,20.961418,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
1.7232933,6.044626183940446,44.309464,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
-1.4442215,2.720636468795447,42.795357,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
-0.5105667,4.700379498126363,24.85327,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
0.51103973,6.526413154474547,16.171164,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
3.3266659,11.936840979672585,46.16213,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
5.0634346,16.376839806098523,62.58788,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
9.921427,28.690176880727734,43.444393,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
12.921545,37.49930232539204,62.548836,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
17.572626,64.08839211450311,31.813213,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
17.365799,63.190742520938024,27.32433,2.69,1.909527072292431,0.6,7.0,8.5_baselinesubset_0
15.824606,49.34186204066762,44.716507,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
9.735727,29.81558404407462,20.881447,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
6.796896,8.494444965853482,74.15853,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
0.79844666,3.527555542196958,35.782814,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
-4.5728073,3.7983449235086906,13.713382,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
1.2531948,10.631564691322707,29.887177,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
3.0883274,10.062452942617302,63.389996,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
4.9566174,21.115109950097995,33.87627,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
10.70443,34.78884807905886,32.803726,0.0,0.0,0.6,4.0,8.5_baselinesubset_0
13.537031,39.53761307384087,46.7677,0.0,0.0,0.6,4.0,8.5_baselinesubset_0
19.743357,71.6810921255907,39.26274,0.0,0.4253637305699482,0.6,4.0,8.5_baselinesubset_0
21.661345,111.77324318695523,23.840462,0.0,0.4253637305699482,0.6,4.0,8.5_baselinesubset_0
13.115934,35.078249623049444,40.091713,0.0,0.4253637305699482,0.6,4.0,8.5_baselinesubset_0
5.7968483,13.939232397389686,20.76314,0.0,1.2760911917098445,0.6,4.0,8.5_baselinesubset_0
0.89066696,7.307145568390778,19.333616,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
-0.15414238,3.076242424049362,52.156353,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
-0.6806717,4.799446131313083,35.84404,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
0.9187908,6.1483206990434125,31.602844,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
2.771616,16.181630950386666,14.644163,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
8.009977,29.73131558184889,33.122055,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
8.981897,27.089104842164645,32.60179,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
14.562702,39.32386526131472,63.705513,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
14.075756,33.754586196065006,45.70629,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
15.101789,38.83857516899382,29.804668,0.0,1.909527072292431,0.6,7.0,8.5_baselinesubset_0
12.791807,32.13882766254865,43.01416,0.0,0.13777218749999998,0.6,2.0,8.5_baselinesubset_0
8.09086,17.409889688639304,40.148846,0.0,0.41331656249999993,0.6,2.0,8.5_baselinesubset_0
5.202795,7.095215943235339,17.349382,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
3.8332958,3.781446351234448,57.70397,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
-0.6753578,6.965909842167888,40.12228,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
3.9769878,8.722856619792877,59.19872,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
0.95622444,8.373202343883099,56.035923,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
6.2976494,23.556942829493558,28.566498,0.0,0.0,0.6,5.0,8.5_baselinesubset_0
10.264517,25.842635829495023,48.598366,0.0,0.001981190798376184,0.6,5.0,8.5_baselinesubset_0
14.2721,36.007012467996724,76.24924,0.0,0.001981190798376184,0.6,5.0,8.5_baselinesubset_0
19.321552,59.78275900636719,23.313951,0.0,0.001981190798376184,0.6,5.0,8.5_baselinesubset_0
17.05719,56.79814514741824,38.459522,0.0,0.0059435723951285525,0.6,5.0,8.5_baselinesubset_0
12.810673,42.04962814641475,34.7673,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
7.373152,13.389008959904688,49.583458,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
6.0404243,6.921685981108164,50.050835,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
3.0913048,5.621785914806001,81.59432,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
-2.1900997,3.4913449748677303,26.530033,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
1.1075459,8.386440910282133,44.528755,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
5.4704742,13.606926573786646,38.03634,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
3.8028011,15.070493258302589,51.947235,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
9.26313,35.37299344071917,20.110813,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
14.818754,45.35568899918734,70.33621,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
19.316652,73.33845097030246,30.714476,2.69,1.909527072292431,0.6,7.0,8.5_baselinesubset_0
14.609673,34.959562486928256,48.42634,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
13.887722,45.88261226549896,19.91886,0.0,0.13777218749999998,0.6,2.0,8.5_baselinesubset_0
7.135866,24.040947925368677,29.079098,0.0,0.13777218749999998,0.6,2.0,8.5_baselinesubset_0
3.3827457,5.789601346746324,55.88065,0.0,0.41331656249999993,0.6,2.0,8.5_baselinesubset_0
-0.09302139,2.2653722769801776,21.383091,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
2.2005806,5.084373867438564,72.84351,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
3.0739403,9.663494644051646,19.727133,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
4.731785,22.678739797430204,13.953814,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
4.1231537,21.508911218468764,35.56482,0.0,0.0,0.6,6.0,8.5_baselinesubset_0
8.539789,24.952872000758013,50.547474,0.0,0.0,0.6,6.0,8.5_baselinesubset_0
13.736603,37.91227541631565,51.16465,0.0,0.0,0.6,6.0,8.5_baselinesubset_0
18.372389,64.83138019276481,32.181393,0.0,0.9714809387070534,0.6,6.0,8.5_baselinesubset_0
17.060194,60.99102324544121,23.683813,0.0,0.9714809387070534,0.6,6.0,8.5_baselinesubset_0
12.0289345,22.88634794223105,86.78079,0.0,0.9714809387070534,0.6,6.0,8.5_baselinesubset_0
6.740206,8.67825951595465,65.27364,0.0,2.91444281612116,0.6,6.0,8.5_baselinesubset_0
2.929039,4.901597982560871,34.377373,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
0.09948921,5.604697667459233,50.813824,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
-3.2914715,4.323513236972751,19.768711,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
-1.1030865,9.689295568608804,25.515667,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
3.1645603,14.484423553348297,49.682518,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
2.701086,19.072911324499035,32.20504,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
7.2672787,21.058252924496294,53.99211,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
12.498861,27.275738209471555,116.99882,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
15.926889,35.8078071396376,73.54707,0.0,1.909527072292431,0.6,7.0,8.5_baselinesubset_0
20.453083,58.974435108712264,32.172707,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
13.385538,35.078945379463505,36.512672,0.0,0.13777218749999998,0.6,2.0,8.5_baselinesubset_0
8.367229,12.860746110012986,35.246235,0.0,0.13777218749999998,0.6,2.0,8.5_baselinesubset_0
5.0384254,9.021485321921991,57.41619,0.0,0.41331656249999993,0.6,2.0,8.5_baselinesubset_0
-0.461977,4.681016296024356,28.896492,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
1.7144184,5.696590163117407,64.20838,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
-1.1197262,7.8612368334025,20.599792,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
0.6824646,9.30896981296613,33.07186,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
6.546936,28.21231442132659,29.279533,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
12.009338,35.11819301603138,69.294785,0.0,0.0,0.6,5.0,8.5_baselinesubset_0
13.535976,33.112718884398774,106.06085,0.0,0.001981190798376184,0.6,5.0,8.5_baselinesubset_0
15.605316,43.59284215658624,44.087994,0.0,0.001981190798376184,0.6,5.0,8.5_baselinesubset_0
16.791485,43.653429466665756,38.3392,0.0,0.001981190798376184,0.6,5.0,8.5_baselinesubset_0
14.694342,42.644892136184026,29.7593,0.0,0.0059435723951285525,0.6,5.0,8.5_baselinesubset_0
9.422321,17.673356451985587,30.159966,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
3.5067139,5.6538124373341825,36.092346,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
-1.1540661,4.575480748789083,32.50911,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
2.3868637,6.807208208720221,53.272713,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
2.4705238,7.756657999251229,81.44095,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
7.081169,11.9241564635723,54.636097,0.0,0.0,0.6,7.0,8.5_baselinesubset_0
5.162098,19.982307320917315,45.164467,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
13.577877,39.69185033858966,38.109753,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
17.60163,62.31677838558745,42.232864,0.0,0.636509024097477,0.6,7.0,8.5_baselinesubset_0
17.88211,54.75654711942505,59.868412,2.69,1.909527072292431,0.6,7.0,8.5_baselinesubset_0
18.358751,57.45327800493852,32.41153,0.0,0.13777218749999998,0.6,2.0,8.5_baselinesubset_0
14.1633415,38.93731715032327,58.38355,0.0,0.13777218749999998,0.6,2.0,8.5_baselinesubset_0
11.900532,15.161905713111112,53.290817,0.0,0.13777218749999998,0.6,2.0,8.5_baselinesubset_0
2.6485634,7.4541071974642374,38.096367,0.0,0.41331656249999993,0.6,2.0,8.5_baselinesubset_0
1.4670105,4.223726815758418,35.656204,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
2.4193974,6.700739701040562,61.381996,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
0.49211884,8.10294392046149,47.808655,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
2.3507996,11.263273474210653,46.497208,0.0,0.0,1.0,1.0,8.5_baselinesubset_0
